Timestep,Susceptibles,Infected,Recovered,US Debt,US GDP,Post-productivity,Current Subsidy Quantitative Policy Level,Total Subsidies,US Tax Wedge,US Federal Deficit,US Federal Interest Payment,US Government Revenue,US Health Index,Defense Imperialism Spending,Income Security Spending,Social Security Spending,Medicare Medicaid Spending,Federal Reserve Balance Sheet,Inflation,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Reward,Reward Social Welfare
180,58351650000.0,129393820.0,1020518500.0,16972376975426.695,21466585914800.0,46548940000.0,0,0.0,0.1630441,415455551.2240772,1031894110.3018914,9589041298.803843,[171.75797],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.661645319015472,0.661645319015472
210,67896426000.0,146917310.0,1320354400.0,16984852394615.967,21466585914800.0,49028764000.0,0,0.0,0.1630441,416214009.75115967,1032652568.8289741,9589041298.803843,[200.76001],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.728468507279582,0.728468507279582
240,77392134000.0,170476050.0,1663219000.0,16997350589016.783,21466585914800.0,47689753000.0,0,0.0,0.1630441,416973852.925375,1033412412.0031891,9589041298.803843,[229.21997],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.6695426785864389,0.6695426785864389
270,86816930000.0,204426850.0,2066608400.0,17009871600207.71,21466585914800.0,45846934000.0,0,0.0,0.1630441,417735083.27454185,1034173642.3523563,9589041298.803843,[256.73694],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.581661719575777,0.581661719575777
300,96129600000.0,250330060.0,2570175700.0,17022415469843.254,21466585914800.0,47613424000.0,0,0.0,0.1630441,418497703.33109856,1034936262.4089131,9589041298.803843,[283.1502],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.6133547668452353,0.6133547668452353
330,104735120000.0,303907620.0,3773219000.0,17034982239653.94,21466585914800.0,47885857000.0,0,0.0,0.1630441,419261715.6321049,1035700274.7099183,9589041298.803843,[308.83395],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.6136352053364384,0.6136352053364384
360,112341350000.0,355041800.0,5977992000.0,17047571951446.48,21466585914800.0,50163347000.0,0,0.0,0.1630441,420027122.7192497,1036465681.797063,9589041298.803843,[334.70978],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.7425927178851444,0.7425927178851444
365,113513420000.0,362610370.0,6442041300.0,17049672470155.44,22810000000000,50199732000.0,0,0.0,0.1630441,420154826.3500385,1036593385.4278536,9589041298.803843,[339.10748],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],-0.8404219082352717,0.7008238483817633
390,118972790000.0,394642500.0,9169086000.0,17045878293703.582,22810000000000,53885510000.0,0,0.0,0.1630441,-151880829.98765945,1064655629.8698094,10189139199.583498,[361.62692],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.8238463712107158,0.8238463712107158
420,124660300000.0,420276400.0,13318083000.0,17041317455091.25,22810000000000,54282523000.0,0,0.0,0.1630441,-152165671.6309967,1064370788.2264723,10189139199.583498,[389.82904],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.8644209207744329,0.8644209207744329
450,129430650000.0,433772400.0,18396377000.0,17036748062952.01,22810000000000,56666853000.0,0,0.0,0.1630441,-152451047.47448158,1064085412.3829874,10189139199.583498,[419.15808],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9424986932037264,0.9424986932037264
480,133301230000.0,439470980.0,24382226000.0,17032170101244.342,22810000000000,57114990000.0,0,0.0,0.1630441,-152736958.51996803,1063799501.337501,10189139199.583498,[449.21878],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9651132061516381,0.9651132061516381
510,136280050000.0,441503900.0,31263513000.0,17027583553896.629,22810000000000,57184485000.0,0,0.0,0.1630441,-153023405.77119064,1063513054.0862797,10189139199.583498,[479.62625],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.97213268609984,0.97213268609984
